HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,730,78,1091,766,21/12/2017,16:34:04.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1086,764,21/12/2017,16:34:05.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1090,777,21/12/2017,16:34:06.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1090,765,21/12/2017,16:34:07.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1090,766,21/12/2017,16:34:08.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1089,766,21/12/2017,16:34:09.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1090,776,21/12/2017,16:34:10.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1090,766,21/12/2017,16:34:11.00,0.000000,0.000000,0.000000
MEDIDA:,729,77,1088,765,21/12/2017,16:34:12.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1088,776,21/12/2017,16:34:13.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1080,766,21/12/2017,16:34:14.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1091,767,21/12/2017,16:34:15.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1090,767,21/12/2017,16:34:16.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1091,776,21/12/2017,16:34:17.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1088,764,21/12/2017,16:34:18.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1090,767,21/12/2017,16:34:19.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,777,21/12/2017,16:34:20.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1090,766,21/12/2017,16:34:21.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1090,766,21/12/2017,16:34:22.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1091,768,21/12/2017,16:34:23.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1091,776,21/12/2017,16:34:24.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1078,764,21/12/2017,16:34:25.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1090,767,21/12/2017,16:34:26.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1091,777,21/12/2017,16:34:27.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1091,767,21/12/2017,16:34:28.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,767,21/12/2017,16:34:29.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1091,767,21/12/2017,16:34:30.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1090,775,21/12/2017,16:34:31.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1089,765,21/12/2017,16:34:32.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1091,768,21/12/2017,16:34:33.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,777,21/12/2017,16:34:34.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1091,767,21/12/2017,16:34:35.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1081,767,21/12/2017,16:34:36.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1091,768,21/12/2017,16:34:37.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,776,21/12/2017,16:34:38.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1088,765,21/12/2017,16:34:39.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1090,767,21/12/2017,16:34:40.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,777,21/12/2017,16:34:41.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,767,21/12/2017,16:34:42.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,767,21/12/2017,16:34:43.00,0.000000,0.000000,0.000000
MEDIDA:,730,78,1091,768,21/12/2017,16:34:44.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,776,21/12/2017,16:34:45.00,0.000000,0.000000,0.000000
MEDIDA:,728,79,1092,767,21/12/2017,16:34:46.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1081,768,21/12/2017,16:34:47.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1092,778,21/12/2017,16:34:48.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1093,769,21/12/2017,16:34:49.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,768,21/12/2017,16:34:50.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1093,768,21/12/2017,16:34:51.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1088,778,21/12/2017,16:34:52.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1092,768,21/12/2017,16:34:53.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,767,21/12/2017,16:34:54.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,778,21/12/2017,16:34:55.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1092,768,21/12/2017,16:34:56.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1083,768,21/12/2017,16:34:57.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1092,768,21/12/2017,16:34:58.00,0.000000,0.000000,0.000000
MEDIDA:,727,79,1090,778,21/12/2017,16:34:59.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1093,768,21/12/2017,16:35:00.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1092,768,21/12/2017,16:35:01.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1093,778,21/12/2017,16:35:02.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1093,769,21/12/2017,16:35:03.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1093,768,21/12/2017,16:35:04.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1094,769,21/12/2017,16:35:05.00,0.000000,0.000000,0.000000
MEDIDA:,727,79,1091,778,21/12/2017,16:35:06.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1091,769,21/12/2017,16:35:07.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1083,768,21/12/2017,16:35:08.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1093,779,21/12/2017,16:35:09.00,0.000000,0.000000,0.000000
MEDIDA:,728,79,1093,768,21/12/2017,16:35:10.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1092,768,21/12/2017,16:35:11.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1093,769,21/12/2017,16:35:12.00,0.000000,0.000000,0.000000
MEDIDA:,727,79,1092,780,21/12/2017,16:35:13.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1093,768,21/12/2017,16:35:14.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1092,768,21/12/2017,16:35:15.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1094,779,21/12/2017,16:35:16.00,0.000000,0.000000,0.000000
MEDIDA:,729,79,1094,768,21/12/2017,16:35:17.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1082,768,21/12/2017,16:35:18.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,768,21/12/2017,16:35:19.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1090,778,21/12/2017,16:35:20.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,767,21/12/2017,16:35:21.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,768,21/12/2017,16:35:22.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1091,778,21/12/2017,16:35:23.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1091,767,21/12/2017,16:35:24.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,768,21/12/2017,16:35:25.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1094,769,21/12/2017,16:35:26.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1091,778,21/12/2017,16:35:27.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,768,21/12/2017,16:35:28.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1082,768,21/12/2017,16:35:29.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,778,21/12/2017,16:35:30.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,768,21/12/2017,16:35:31.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,767,21/12/2017,16:35:32.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1089,765,21/12/2017,16:35:33.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1093,777,21/12/2017,16:35:34.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,767,21/12/2017,16:35:35.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,767,21/12/2017,16:35:36.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1093,779,21/12/2017,16:35:37.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,768,21/12/2017,16:35:38.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,767,21/12/2017,16:35:39.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1080,765,21/12/2017,16:35:40.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,778,21/12/2017,16:35:41.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,767,21/12/2017,16:35:42.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,768,21/12/2017,16:35:43.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1093,768,21/12/2017,16:35:44.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,769,21/12/2017,16:35:45.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,767,21/12/2017,16:35:46.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1090,766,21/12/2017,16:35:47.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,777,21/12/2017,16:35:48.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,767,21/12/2017,16:35:49.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,768,21/12/2017,16:35:50.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1081,767,21/12/2017,16:35:51.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,774,21/12/2017,16:35:52.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1091,766,21/12/2017,16:35:53.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1089,766,21/12/2017,16:35:54.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1093,778,21/12/2017,16:35:55.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,767,21/12/2017,16:35:56.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,767,21/12/2017,16:35:57.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,768,21/12/2017,16:35:58.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1091,777,21/12/2017,16:35:59.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1091,767,21/12/2017,16:36:00.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1081,765,21/12/2017,16:36:01.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,777,21/12/2017,16:36:02.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,767,21/12/2017,16:36:03.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,767,21/12/2017,16:36:04.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,768,21/12/2017,16:36:05.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,777,21/12/2017,16:36:06.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1091,767,21/12/2017,16:36:07.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1091,765,21/12/2017,16:36:08.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,778,21/12/2017,16:36:09.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,767,21/12/2017,16:36:10.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,768,21/12/2017,16:36:11.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1083,769,21/12/2017,16:36:12.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1091,778,21/12/2017,16:36:13.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1091,765,21/12/2017,16:36:14.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,768,21/12/2017,16:36:15.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,778,21/12/2017,16:36:16.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1091,767,21/12/2017,16:36:17.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1093,768,21/12/2017,16:36:18.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1094,769,21/12/2017,16:36:19.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,778,21/12/2017,16:36:20.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1090,766,21/12/2017,16:36:21.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1090,766,21/12/2017,16:36:22.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1082,779,21/12/2017,16:36:23.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1093,768,21/12/2017,16:36:24.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1092,768,21/12/2017,16:36:25.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1093,769,21/12/2017,16:36:26.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,778,21/12/2017,16:36:27.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1090,765,21/12/2017,16:36:28.00,0.000000,0.000000,0.000000
MEDIDA:,729,78,1093,768,21/12/2017,16:36:29.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,778,21/12/2017,16:36:30.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,767,21/12/2017,16:36:31.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,769,21/12/2017,16:36:32.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1083,768,21/12/2017,16:36:33.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,778,21/12/2017,16:36:34.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1090,766,21/12/2017,16:36:35.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,769,21/12/2017,16:36:36.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,778,21/12/2017,16:36:37.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,768,21/12/2017,16:36:38.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,768,21/12/2017,16:36:39.00,0.000000,0.000000,0.000000
MEDIDA:,721,77,1083,758,21/12/2017,16:36:40.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,778,21/12/2017,16:36:41.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1092,766,21/12/2017,16:36:42.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,769,21/12/2017,16:36:43.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1083,779,21/12/2017,16:36:44.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,768,21/12/2017,16:36:45.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,767,21/12/2017,16:36:46.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,769,21/12/2017,16:36:47.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,778,21/12/2017,16:36:48.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1090,766,21/12/2017,16:36:49.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,768,21/12/2017,16:36:50.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1092,778,21/12/2017,16:36:51.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,767,21/12/2017,16:36:52.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,769,21/12/2017,16:36:53.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,769,21/12/2017,16:36:54.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1083,778,21/12/2017,16:36:55.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,768,21/12/2017,16:36:56.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,769,21/12/2017,16:36:57.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1092,768,21/12/2017,16:36:58.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,768,21/12/2017,16:36:59.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,769,21/12/2017,16:37:00.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,769,21/12/2017,16:37:01.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1092,779,21/12/2017,16:37:02.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,768,21/12/2017,16:37:03.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,769,21/12/2017,16:37:04.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1084,769,21/12/2017,16:37:05.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,778,21/12/2017,16:37:06.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,769,21/12/2017,16:37:07.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,769,21/12/2017,16:37:08.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1091,779,21/12/2017,16:37:09.00,0.000000,0.000000,0.000000
MEDIDA:,728,79,1093,768,21/12/2017,16:37:10.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,769,21/12/2017,16:37:11.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1095,770,21/12/2017,16:37:12.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,779,21/12/2017,16:37:13.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,769,21/12/2017,16:37:14.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,770,21/12/2017,16:37:15.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1083,779,21/12/2017,16:37:16.00,0.000000,0.000000,0.000000
MEDIDA:,727,79,1095,769,21/12/2017,16:37:17.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,769,21/12/2017,16:37:18.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,770,21/12/2017,16:37:19.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1093,779,21/12/2017,16:37:20.00,0.000000,0.000000,0.000000
MEDIDA:,727,79,1094,769,21/12/2017,16:37:21.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,769,21/12/2017,16:37:22.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1092,779,21/12/2017,16:37:23.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1095,770,21/12/2017,16:37:24.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,770,21/12/2017,16:37:25.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1084,769,21/12/2017,16:37:26.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,779,21/12/2017,16:37:27.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,769,21/12/2017,16:37:28.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1091,767,21/12/2017,16:37:29.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,779,21/12/2017,16:37:30.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1093,769,21/12/2017,16:37:31.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1093,768,21/12/2017,16:37:32.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,768,21/12/2017,16:37:33.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,779,21/12/2017,16:37:34.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,769,21/12/2017,16:37:35.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1094,767,21/12/2017,16:37:36.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1081,779,21/12/2017,16:37:37.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,770,21/12/2017,16:37:38.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,769,21/12/2017,16:37:39.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1093,769,21/12/2017,16:37:40.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,779,21/12/2017,16:37:41.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,769,21/12/2017,16:37:42.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1092,767,21/12/2017,16:37:43.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,769,21/12/2017,16:37:44.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,779,21/12/2017,16:37:45.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,769,21/12/2017,16:37:46.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1084,769,21/12/2017,16:37:47.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,779,21/12/2017,16:37:48.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1092,767,21/12/2017,16:37:49.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1091,767,21/12/2017,16:37:50.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1093,768,21/12/2017,16:37:51.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,780,21/12/2017,16:37:52.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1093,769,21/12/2017,16:37:53.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,769,21/12/2017,16:37:54.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,779,21/12/2017,16:37:55.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,770,21/12/2017,16:37:56.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1095,767,21/12/2017,16:37:57.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1083,770,21/12/2017,16:37:58.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,780,21/12/2017,16:37:59.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,769,21/12/2017,16:38:00.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,768,21/12/2017,16:38:01.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,780,21/12/2017,16:38:02.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1095,770,21/12/2017,16:38:03.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1093,767,21/12/2017,16:38:04.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1096,770,21/12/2017,16:38:05.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,779,21/12/2017,16:38:06.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,769,21/12/2017,16:38:07.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1084,769,21/12/2017,16:38:08.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1095,780,21/12/2017,16:38:09.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1092,767,21/12/2017,16:38:10.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,769,21/12/2017,16:38:11.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1094,769,21/12/2017,16:38:12.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,779,21/12/2017,16:38:13.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,769,21/12/2017,16:38:14.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,770,21/12/2017,16:38:15.00,0.000000,0.000000,0.000000
MEDIDA:,728,78,1096,771,21/12/2017,16:38:16.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1093,775,21/12/2017,16:38:17.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1093,768,21/12/2017,16:38:18.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1084,770,21/12/2017,16:38:19.00,0.000000,0.000000,0.000000
MEDIDA:,727,79,1095,780,21/12/2017,16:38:20.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,770,21/12/2017,16:38:21.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,770,21/12/2017,16:38:22.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1096,770,21/12/2017,16:38:23.00,0.000000,0.000000,0.000000
MEDIDA:,725,78,1092,778,21/12/2017,16:38:24.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1093,769,21/12/2017,16:38:25.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,770,21/12/2017,16:38:26.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,780,21/12/2017,16:38:27.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,768,21/12/2017,16:38:28.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1084,769,21/12/2017,16:38:29.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,770,21/12/2017,16:38:30.00,0.000000,0.000000,0.000000
MEDIDA:,726,77,1092,779,21/12/2017,16:38:31.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,769,21/12/2017,16:38:32.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1093,769,21/12/2017,16:38:33.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,780,21/12/2017,16:38:34.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,769,21/12/2017,16:38:35.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,769,21/12/2017,16:38:36.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,770,21/12/2017,16:38:37.00,0.000000,0.000000,0.000000
MEDIDA:,725,78,1093,779,21/12/2017,16:38:38.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1093,769,21/12/2017,16:38:39.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1086,770,21/12/2017,16:38:40.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1094,780,21/12/2017,16:38:41.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1096,769,21/12/2017,16:38:42.00,0.000000,0.000000,0.000000
MEDIDA:,725,78,1090,766,21/12/2017,16:38:43.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,770,21/12/2017,16:38:44.00,0.000000,0.000000,0.000000
MEDIDA:,725,78,1093,780,21/12/2017,16:38:45.00,0.000000,0.000000,0.000000
MEDIDA:,727,79,1095,770,21/12/2017,16:38:46.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1096,769,21/12/2017,16:38:47.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,772,21/12/2017,16:38:48.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,780,21/12/2017,16:38:49.00,0.000000,0.000000,0.000000
MEDIDA:,727,79,1086,770,21/12/2017,16:38:50.00,0.000000,0.000000,0.000000
MEDIDA:,725,78,1094,769,21/12/2017,16:38:51.00,0.000000,0.000000,0.000000
MEDIDA:,726,78,1095,780,21/12/2017,16:38:52.00,0.000000,0.000000,0.000000
MEDIDA:,726,79,1096,769,21/12/2017,16:38:53.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1095,770,21/12/2017,16:38:54.00,0.000000,0.000000,0.000000
MEDIDA:,727,79,1095,770,21/12/2017,16:38:55.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1096,780,21/12/2017,16:38:56.00,0.000000,0.000000,0.000000
MEDIDA:,726,79,1095,769,21/12/2017,16:38:57.00,0.000000,0.000000,0.000000
MEDIDA:,725,78,1093,768,21/12/2017,16:38:58.00,0.000000,0.000000,0.000000
MEDIDA:,727,78,1093,780,21/12/2017,16:38:59.00,0.000000,0.000000,0.000000
